"통계분류(1)",통계분류(2),2016,2016,2016
"통계분류(1)",통계분류(2),표본수,관람 경험 있음,관람 경험 없음
"전체",소계,10716,57.6,42.4
"성별",남성,5211,56.8,43.2
"성별",여성,5505,58.4,41.6
"연령별",15~19세,843,46.3,53.7
"연령별",20대,1531,58.4,41.6
"연령별",30대,1757,60.7,39.3
"연령별",40대,1988,62.2,37.8
"연령별",50대,1969,58.3,41.7
"연령별",60대,1315,55.7,44.3
"연령별",70세이상,1313,51.3,48.7
"학력별",초졸 이하,1261,50.9,49.1
"학력별",중졸,1518,53.6,46.4
"학력별",고졸,4352,57.1,42.9
"학력별",대졸이상,3585,61.2,38.8
"동거가구원수별",1인,1083,47.8,52.2
"동거가구원수별",2인,2555,57.6,42.4
"동거가구원수별",3인이상,7078,58.1,41.9
"혼인상태별",미혼,2891,53.8,46.2
"혼인상태별",기혼,6890,59.6,40.4
"혼인상태별",사별/이혼/기타,935,51.9,48.1
"가구주여부별",가구주,4692,57.3,42.7
"가구주여부별",가구주 아님,6024,57.8,42.2
"종사자지위별",임금.봉급 근로자,4399,62.6,37.4
"종사자지위별",고용원을 둔 사업자,264,50.8,49.2
"종사자지위별",고용원이 없는 자영자,1591,53.6,46.4
"종사자지위별",무급가족종사자,243,62.5,37.5
"종사자지위별",해당없음(무직),4219,53.8,46.2
"가구소득별",100만원 미만,874,47.1,52.9
"가구소득별",100~200만원,1143,55.1,44.9
"가구소득별",200~300만원,1685,58.8,41.2
"가구소득별",300~400만원,2554,58.5,41.5
"가구소득별",400~500만원,2224,56.7,43.3
"가구소득별",500~600만원,1369,61,39
"가구소득별",600만원 이상,867,57.5,42.5
"지역규모별",대도시,4652,50.7,49.3
"지역규모별",중소도시,3656,61,39
"지역규모별",읍면지역,2408,67.3,32.7
"권역별",수도권,3343,53.9,46.1
"권역별",강원/제주권,756,67.1,32.9
"권역별",충청/세종권,1772,75.8,24.2
"권역별",호남권,1608,60.3,39.7
"권역별",대경권,1314,42.2,57.8
"권역별",동남권,1923,62.6,37.4
"17개 시도별",서울,1263,46.8,53.2
"17개 시도별",부산,762,53.4,46.6
"17개 시도별",대구,638,32,68
"17개 시도별",인천,687,58.8,41.2
"17개 시도별",광주,502,56.2,43.8
"17개 시도별",대전,502,69.8,30.2
"17개 시도별",울산,425,72.9,27.1
"17개 시도별",세종,176,64.8,35.2
"17개 시도별",경기,1393,58.5,41.5
"17개 시도별",강원,460,67.6,32.4
"17개 시도별",충북,509,76,24
"17개 시도별",충남,585,81.2,18.8
"17개 시도별",전북,558,60.7,39.3
"17개 시도별",전남,548,63.4,36.6
"17개 시도별",경북,676,51.5,48.5
"17개 시도별",경남,736,68.9,31.1
"17개 시도별",제주,296,65.8,34.2
