"통계분류(1)",통계분류(2),2021,2021,2021
"통계분류(1)",통계분류(2),표본수,관람 경험 있음,관람 경험 없음
"전체",소계,10060,5.6,94.4
"성별",남성,4942,5.1,94.9
"성별",여성,5118,6.1,93.9
"연령별",15~19세,578,5.1,94.9
"연령별",20대,1496,5.3,94.7
"연령별",30대,1565,6.2,93.8
"연령별",40대,1786,5.7,94.3
"연령별",50대,1886,5.9,94.1
"연령별",60대,1479,6.8,93.2
"연령별",70세이상,1270,3.2,96.8
"학력별",초졸 이하,1233,3.3,96.7
"학력별",중졸,1079,5.5,94.5
"학력별",고졸,3920,5.1,94.9
"학력별",대졸이상,3828,6.8,93.2
"동거가구원수별",1인,2112,5.2,94.8
"동거가구원수별",2인,2686,5.9,94.1
"동거가구원수별",3인이상,5262,5.5,94.5
"혼인상태별",미혼,2980,5,95
"혼인상태별",기혼,5673,5.9,94.1
"혼인상태별",사별/이혼/기타,1407,5.3,94.7
"가구주여부별",가구주,5213,5.5,94.5
"가구주여부별",가구주 아님,4847,5.7,94.3
"종사자지위별",임금.봉급 근로자,3859,6.6,93.4
"종사자지위별",고용원을 둔 사업자,305,5.4,94.6
"종사자지위별",고용원이 없는 자영자,1919,4.9,95.1
"종사자지위별",무급가족종사자,225,2.4,97.6
"종사자지위별",해당없음(무직),3752,5.1,94.9
"가구소득별",100만원 미만,1115,5.4,94.6
"가구소득별",100~200만원,1027,4.7,95.3
"가구소득별",200~300만원,1575,4.9,95.1
"가구소득별",300~400만원,1925,5.6,94.4
"가구소득별",400~500만원,1602,5.9,94.1
"가구소득별",500~600만원,1322,5.9,94.1
"가구소득별",600만원 이상,1494,6.3,93.7
"지역규모별",대도시,4328,5.3,94.7
"지역규모별",중소도시,3449,5.9,94.1
"지역규모별",읍면지역,2283,5.8,94.2
"권역별",수도권,3135,5.4,94.6
"권역별",강원/제주권,778,10.1,89.9
"권역별",충청/세종권,1706,6,94
"권역별",호남권,1474,7.8,92.2
"권역별",대경권,1884,5.2,94.8
"권역별",동남권,1083,2.1,97.9
"17개 시도별",서울,1197,6.2,93.8
"17개 시도별",부산,691,2.2,97.8
"17개 시도별",대구,579,3.9,96.1
"17개 시도별",인천,621,1.7,98.3
"17개 시도별",광주,451,14.6,85.4
"17개 시도별",대전,460,6.3,93.7
"17개 시도별",울산,392,2,98
"17개 시도별",세종,201,7.6,92.4
"17개 시도별",경기,1317,5.7,94.3
"17개 시도별",강원,477,13.7,86.3
"17개 시도별",충북,487,5,95
"17개 시도별",충남,558,6.3,93.7
"17개 시도별",전북,514,4.3,95.7
"17개 시도별",전남,509,5.6,94.4
"17개 시도별",경북,621,6.2,93.8
"17개 시도별",경남,684,5.3,94.7
"17개 시도별",제주,301,1.8,98.2
"장애여부별",해당사항없음,9726,5.6,94.4
"장애여부별",미등록,116,10,90
"장애여부별",장애등록,218,3.4,96.6
