"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020
"통계분류(1)",통계분류(2),표본수,지역의 특산물특산품 체험,지역의 전통 역사 체험,공연/문화 예술 체험,지역의 생태 자연 체험,지역 주민과의 화합 어울림,기타
"전체",소계,3369,32.8,24.5,21.5,29.1,23.1,0.7
"성별",남성,1620,32.9,24.4,21.9,27.7,24,0.8
"성별",여성,1749,32.7,24.7,21.2,30.5,22.3,0.6
"연령별",15~19세,165,17.3,19.5,36.5,26.7,20.9,2.8
"연령별",20대,466,23.7,20.4,33.2,27.1,21.3,1.4
"연령별",30대,581,28.6,23.4,25.4,35.8,19.4,0.5
"연령별",40대,723,31.2,25.7,22.1,32.1,21.7,0.7
"연령별",50대,653,39.6,24.4,17.2,26.9,24.9,0.6
"연령별",60대,490,41.4,28.7,12.4,27.3,27.2,0.3
"연령별",70세이상,291,37.1,26,12.2,21.5,26.8,-
"학력별",초졸 이하,310,33.1,22.6,15.2,24,26,-
"학력별",중졸,295,34.4,21.7,17.5,22.9,28.9,1.1
"학력별",고졸,1353,33.5,25.7,20.3,28.6,23.9,0.6
"학력별",대졸이상,1411,31.8,24.4,24.8,31.9,20.6,0.9
"동거가구원수별",1인,482,32.1,23.5,20.9,24.8,31.9,0.6
"동거가구원수별",2인,975,40.7,25.2,15.6,27.8,23.8,0.3
"동거가구원수별",3인이상,1912,30,24.4,23.7,30,22.1,0.9
"혼인상태별",미혼,875,23.6,20.6,32.3,27,21.3,1.5
"혼인상태별",기혼,2186,35.4,25.6,18.7,30,23.1,0.5
"혼인상태별",사별/이혼/기타,308,37.7,26.4,13.6,27.2,30,0
"가구주여부별",가구주,1611,35.9,25.1,19,28.1,25.4,0.5
"가구주여부별",가구주 아님,1758,30.4,24.1,23.4,29.9,21.4,0.8
"종사자지위별",임금.봉급 근로자,1397,31.8,24.5,23.5,30.6,22.1,0.4
"종사자지위별",고용원을 둔 사업자,115,39.3,22.2,20.8,30.9,23.9,1.2
"종사자지위별",고용원이 없는 자영자,596,38.2,23.5,16.3,26.6,26.5,0.8
"종사자지위별",무급가족종사자,83,40.4,24.6,16.4,22.4,20.3,-
"종사자지위별",해당없음(무직),1178,30,25.3,22.3,29,22.7,0.9
"가구소득별",100만원 미만,231,33.1,21.2,19.8,24.5,31.1,0.2
"가구소득별",100~200만원,319,47.8,25.6,12.7,24.1,24.7,-
"가구소득별",200~300만원,507,37.1,24.8,17.2,24.4,26.8,0.3
"가구소득별",300~400만원,729,32.2,24.3,18.8,28.3,25,0.9
"가구소득별",400~500만원,662,27.6,23.6,24.8,31.5,22.8,0.8
"가구소득별",500~600만원,653,29.1,24.8,25.8,32.1,17.8,0.7
"가구소득별",600만원 이상,268,36,26.9,24.1,31.5,21.6,1.3
"지역규모별",대도시,1406,28.1,20.8,23.3,32.2,25.4,0.9
"지역규모별",중소도시,1254,31.4,26.8,24,26.9,21.5,0.7
"지역규모별",읍면지역,709,45.2,27.8,13.3,27.1,21.6,0.2
"권역별",수도권,1496,26.2,28.9,26.9,25.7,22,1.3
"권역별",강원/제주권,124,43.1,25.9,13.4,15.2,27.2,-
"권역별",충청/세종권,427,46.1,16.7,16,22.8,35.1,0.4
"권역별",호남권,480,30.8,23,14.6,47.3,20.7,-
"권역별",대경권,570,41.6,24.3,21.7,21.8,17.3,-
"권역별",동남권,272,31.6,13.7,13.7,48.9,25.9,0.8
"17개 시도별",서울,647,23.6,22.6,30.7,27,25.6,1.1
"17개 시도별",부산,222,34.1,11.7,13.5,47.5,26,0.3
"17개 시도별",대구,118,41.3,20.2,28.2,6.7,18.9,-
"17개 시도별",인천,128,27.1,35.9,24.4,29.3,16.2,1.9
"17개 시도별",광주,134,32.5,18.9,14.8,50.6,11.6,-
"17개 시도별",대전,108,26.1,10.9,6.6,25.1,57.4,0.8
"17개 시도별",울산,50,21.5,22,14.5,54.7,25.3,2.9
"17개 시도별",세종,29,60.9,27.3,12.4,30.9,27.8,-
"17개 시도별",경기,721,28.1,32.8,24.2,24.1,20,1.3
"17개 시도별",강원,88,48.5,15.6,16.6,10.9,29.2,-
"17개 시도별",충북,88,75.2,10.5,14.1,20.4,14.6,-
"17개 시도별",충남,202,42.2,20.9,22.4,21.4,33,0.4
"17개 시도별",전북,180,28.7,27.5,11.9,45.2,28.5,-
"17개 시도별",전남,166,31.8,21.6,17.5,46.7,19.9,-
"17개 시도별",경북,145,60.9,14.1,8.3,21.3,10.3,-
"17개 시도별",경남,307,32.6,30.8,25.4,28,19.9,-
"17개 시도별",제주,36,30.4,50.4,5.8,25.3,22.6,-
"장애여부별",해당사항없음,3212,33.4,24.2,21.6,29.2,23.4,0.7
"장애여부별",미등록,106,15.5,36.1,19.1,30.9,16.5,-
"장애여부별",장애등록,51,34.4,19.6,20.7,23,22.8,2.2
